2019-02-04 22:32:14,315 (7f2cb17fa700) :  INFO (agentservice:121) - Agent info: {}
2019-02-04 22:32:14,315 (7f2d04c17700) :  DEBUG (runtime:1117) - Created a thread named 'update_attribution_flags_inner'
2019-02-04 22:32:14,316 (7f2d04c17700) :  INFO (core:611) - Started plug-in
2019-02-04 22:32:14,316 (7f2d04c17700) :  DEBUG (socketinterface:160) - Starting socket server
2019-02-04 22:32:14,316 (7f2cb17fa700) :  INFO (datakit:131) - Saved the dictionary file
2019-02-04 22:32:14,316 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,317 (7f2d04c17700) :  DEBUG (runtime:1117) - Created a thread named 'start'
2019-02-04 22:32:14,317 (7f2d04c17700) :  INFO (socketinterface:184) - Socket server started on port 46395
2019-02-04 22:32:14,318 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,318 (7f2d04c17700) :  INFO (pipeinterface:25) - Entering run loop
2019-02-04 22:32:14,318 (7f2d04c17700) :  DEBUG (runtime:717) - Handling request GET /:/prefixes
2019-02-04 22:32:14,319 (7f2d04c17700) :  DEBUG (runtime:814) - Found route matching /:/prefixes
2019-02-04 22:32:14,320 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,320 (7f2d04c17700) :  DEBUG (runtime:924) - Response: [200] MediaContainer, 486 bytes
2019-02-04 22:32:14,322 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,322 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,323 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,323 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,324 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,324 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,325 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,326 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'ensure_agent_info_exists_inner'
2019-02-04 22:32:14,326 (7f2cd1f7b700) :  DEBUG (runtime:1117) - Created a thread named 'remove_unavailable_agents'
2019-02-04 22:32:14,326 (7f2cd1f7b700) :  DEBUG (bundleservice:85) - Started the bundle service
2019-02-04 22:32:14,328 (7f2cb3fff700) :  DEBUG (flagservice:46) - Started the media flag service
2019-02-04 22:32:14,341 (7f2cb3fff700) :  DEBUG (runtime:717) - Handling request GET /system/agents
2019-02-04 22:32:14,368 (7f2cb3fff700) :  DEBUG (runtime:814) - Found route matching /system/agents
2019-02-04 22:32:14,384 (7f2cd37fe700) :  DEBUG (core:538) - Machine identifier is 7b56cc761f87c077a42698383dc5aa6f8bd83b14
2019-02-04 22:32:14,385 (7f2cd37fe700) :  DEBUG (core:539) - Server version is 1.14.1.5488-cc260c476
2019-02-04 22:32:14,385 (7f2cd177a700) :  DEBUG (core:521) - Attribute 'machineIdentifier' set to '7b56cc761f87c077a42698383dc5aa6f8bd83b14'
2019-02-04 22:32:14,385 (7f2cd177a700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400'
2019-02-04 22:32:14,387 (7f2cb37fe700) :  DEBUG (peerservice:171) - Refreshing local server
2019-02-04 22:32:14,387 (7f2cd0f79700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.plexthememusic'
2019-02-04 22:32:14,387 (7f2cb37fe700) :  DEBUG (peerservice:189) - Updating servers (True/False True/True/True)
2019-02-04 22:32:14,387 (7f2cd0f79700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,387 (7f2cb37fe700) :  DEBUG (peerservice:198) - Found 1 servers
2019-02-04 22:32:14,388 (7f2cb37fe700) :  DEBUG (peerservice:230) - Creating new server fd0598b037e5 (7b56cc761f87c077a42698383dc5aa6f8bd83b14)
2019-02-04 22:32:14,388 (7f2cb27fc700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.lyricfind not in info dictionary - pinging!
2019-02-04 22:32:14,388 (7f2cb37fe700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/library/sections'
2019-02-04 22:32:14,388 (7f2cb27fc700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.lyricfind'
2019-02-04 22:32:14,390 (7f2cd177a700) :  DEBUG (core:521) - Attribute 'platformVersion' set to '4.20.6-arch1-1-ARCH'
2019-02-04 22:32:14,390 (7f2cd1f7b700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.system/messaging/function/X0J1bmRsZVNlcnZpY2U6QWxsU2VydmljZXM_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMApyMAo_
2019-02-04 22:32:14,391 (7f2cd177a700) :  DEBUG (networking:166) - Requesting 'https://plugins.plex.tv/apps/all.json?frameworkVersion=2.6.3&machineIdentifier=7b56cc761f87c077a42698383dc5aa6f8bd83b14&os=Linux&osVersion=4.20.6-arch1-1-ARCH&cpu=i386&serverVersion=1.14.1.5488-cc260c476&systemRevision=cc260c4'
2019-02-04 22:32:14,395 (7f2cb37fe700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/channels/all'
2019-02-04 22:32:14,396 (7f2cb27fc700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.lyricfind'
2019-02-04 22:32:14,396 (7f2cb27fc700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,396 (7f2cb0ff9700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.thetvdb not in info dictionary - pinging!
2019-02-04 22:32:14,405 (7f2cb0ff9700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.thetvdb'
2019-02-04 22:32:14,405 (7f2cd1f7b700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.system/messaging/function/X0J1bmRsZVNlcnZpY2U6QWxsU2VydmljZXM_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMApyMAo_
2019-02-04 22:32:14,407 (7f2cd1f7b700) :  DEBUG (runtime:924) - Response: [200] str, 516 bytes
2019-02-04 22:32:14,410 (7f2cf4ff9700) :  DEBUG (services:362) - Loaded services
2019-02-04 22:32:14,412 (7f2cd3fff700) :  DEBUG (services:438) - No shared code to load
2019-02-04 22:32:14,413 (7f2cb0ff9700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.thetvdb'
2019-02-04 22:32:14,414 (7f2cb0ff9700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,414 (7f2c93fff700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.themoviedb not in info dictionary - pinging!
2019-02-04 22:32:14,414 (7f2cd3fff700) :  DEBUG (peerservice:176) - Background-refreshing remote servers
2019-02-04 22:32:14,414 (7f2cb37fe700) :  DEBUG (runtime:1117) - Created a thread named 'background_refresh'
2019-02-04 22:32:14,414 (7f2cd3fff700) :  DEBUG (peerservice:189) - Updating servers (False/True True/True/True)
2019-02-04 22:32:14,415 (7f2c93fff700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb'
2019-02-04 22:32:14,415 (7f2cd3fff700) :  DEBUG (peerservice:198) - Found 1 servers
2019-02-04 22:32:14,417 (7f2c93fff700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb'
2019-02-04 22:32:14,417 (7f2c93fff700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,417 (7f2c937fe700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.localmedia not in info dictionary - pinging!
2019-02-04 22:32:14,417 (7f2c937fe700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.localmedia'
2019-02-04 22:32:14,419 (7f2c937fe700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.localmedia'
2019-02-04 22:32:14,419 (7f2c937fe700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,419 (7f2c92ffd700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.fanarttv not in info dictionary - pinging!
