nginx 1.12.2-1
nmap 7.60-1
nodejs 8.8.1-1
npm 5.5.1-1
npth 1.5-1
opencore-amr 0.1.5-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.6p1-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.l-1
opus 1.2.1-1
orc 0.4.27-1
p11-kit 0.23.9-1
package-query 1.9-2
pacman 5.0.2-2.1
pacman-mirrorlist 20170820-1
pam 1.3.0-1
pambase 20171006-1
parted 3.2-6
patch 2.7.5-1
pciutils 3.5.5-1
pcre 8.41-1
pcre2 10.30-1
perl 5.26.1-1
perl-error 0.17025-2
perl-parse-yapp 1.05-8
php 7.1.11-1
php-apache 7.1.11-1
php-fpm 7.1.11-1
phpmyadmin 4.7.5-1
pinentry 1.0.0-1
pkg-config 0.29.2-1
popt 1.16-9
procps-ng 3.3.12-1
psmisc 23.1-1
python 3.6.3-1
python-appdirs 1.4.3-1
python-packaging 16.8-2
python-pyparsing 2.2.0-1
python-raspberry-gpio 0.6.3-1
python-setuptools 1:36.7.1-1
python-six 1.11.0-1
python2 2.7.14-1
raspberrypi-bootloader 20171103-1
readline 7.0.003-1
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
ruby 2.4.2-1
s-nail 14.9.5-1
samba 4.7.1-1
schroedinger 1.0.11-3
screen 4.6.2-1
screenfetch 3.8.0-2
sdl2 2.0.7-1
sed 4.4-1
semver 5.4.1-1
shadow 4.5-2
sl 5.02-4
smbclient 4.7.1-1
snappy 1.1.4-1
speex 1.2.0-1
speexdsp 1.2rc3-2.1
sqlite 3.21.0-1
stress 1.0.4-4
sudo 1.8.21.p2-1
sysfsutils 2.1.0-9
systemd 235.38-2
systemd-sysvcompat 235.38-2
talloc 2.1.10-1
tar 1.29-2
tdb 1.3.15-1
tevent 1:0.9.33-1
texinfo 6.5-1
thin-provisioning-tools 0.7.4-1
tmux 2.6-1
tmux-bash-completion r13.847eda6-1
tre 0.8.0-4
